"","ID","BallPen_Head_sd","BallPen_Head_mean","BallPen_Head_var","BallPen_Chest_sd","BallPen_Chest_mean","BallPen_Chest_var","BallPen_Arm_sd","BallPen_Arm_mean","BallPen_Arm_var","Socks_Head_sd","Socks_Head_mean","Socks_Head_var","Socks_Chest_sd","Socks_Chest_mean","Socks_Chest_var","Socks_Arm_sd","Socks_Arm_mean","Socks_Arm_var"
"1",2,0.137432222130724,0.0912334888304898,0.0188876156797887,105.760234639183,48.8038326235882,11185.227230935,184.065528830811,82.1246065543418,33880.1189037661,0.116283310210781,0.071919860589368,0.0135218082335767,234.64280334129,46.6128285820067,55057.2451598592,180.423989562842,60.8304331728989,32552.8160097725
"2",3,0.144742048106561,0.0570078587351146,0.020950260490082,320.395566208683,77.7644880577671,102653.318846183,211.184139621112,75.0484169598223,44598.7408275095,0.151762731156158,0.0647685182434505,0.0230319265679764,424.448926944518,113.45047213479,180156.891584353,252.390342405029,88.9301055360119,63700.8849393278
"3",4,0.0909900278225604,0.0322189779297645,0.00827918516315031,285.089783139667,67.9879663056558,81276.1844506221,249.236099410763,121.097472924188,62118.6332494918,0.0904154483890598,0.0306992435746526,0.00817495330739474,284.909327411205,67.2875127279459,81173.3248459051,247.619494254459,119.793946126076,61315.413934834
"4",5,0.0817639545177803,0.0364851198360265,0.00668534425838564,55.1678565211361,28.6237834831773,3043.49239313665,163.937964747496,103.360737788488,26875.6562855513,0.0592057069857204,0.0308050039082683,0.00350531573967899,39.5556118075228,23.8018885391594,1564.64642546744,97.104136158363,60.0748935382337,9429.2132590619
"5",6,0.0733312297953425,0.0383721178769307,0.00537746926329733,63.9049459540656,22.7464593168564,4083.84211739204,180.798926241277,84.2499305748403,32688.2517299989,0.0539992843136897,0.0261401909682244,0.00291592270639069,71.4674786978685,23.0932234771339,5107.60051143029,106.846230150646,54.2667098685429,11416.1168974048
"6",8,0.110945525996159,0.0531764410743728,0.0123089097385644,76.3080748278858,25.490644683216,5822.92228393821,128.016107305409,71.3160429788811,16388.12372963,0.0828301013219146,0.0308422157565935,0.00686082568499864,34.1844592453374,12.4729967577582,1168.57725389614,102.664921293395,53.133024548402,10540.086064179
"7",9,0.117791614858511,0.0845039186781351,0.0138748645309759,788.145532166305,404.392162312396,621173.379873708,499.251019095886,252.394200481749,249251.58006828,0.132167124943685,0.0877093633457761,0.0174681489158796,543.704935309458,272.503612449055,295615.056679862,361.034981950446,164.37986291219,130346.258191959
"8",10,0.062458381433239,0.0269685275888496,0.00390104941125998,31.1991270455669,14.3071792496526,973.385528405424,204.27334651187,98.3345993515516,41727.6000951586,0.0529694294990839,0.0318666170204535,0.00280576046145842,17.3115083910022,11.4680870773506,299.688322771739,165.360652205872,77.6064844835572,27344.1452979513
"9",11,0.109409460056969,0.0511943243002778,0.0119704299499575,93.922283547558,37.6015748031496,8821.39534678788,236.57695423798,89.6643816581751,55968.6552765191,0.0613264433224664,0.0265507689552692,0.00376093265058368,92.7999946326007,36.372116720704,8611.83900381072,164.15880824286,64.7540528022233,26948.1143237159
"10",12,0.113576205318138,0.0458515783514382,0.0128995544144677,63.4487189497975,28.9965724872626,4025.73993637039,120.283983214852,49.9906438165818,14468.2366180309,0.127906494667874,0.0554581583166445,0.016360071378223,134.618453141554,49.7099851796962,18122.1279262249,121.477502139653,52.0576139310856,14756.7835260894
